handle,products_count,current_title,current_length,new_title,new_length,method,note
vetements,1664,Vêtements Streetwear Suisse | Mode Urbaine Premium - Resell Lausanne,68,Vêtements Streetwear Suisse | Mode Urbaine Premium,50,suffix_stripped,removed trailing brand suffix (68 -> 50 chars)
fear-of-god-essentials,260,Fear of God Essentials Suisse | Vêtements Minimalistes - Resell Lausanne,72,Fear of God Essentials Suisse | Vêtements Minimalistes,54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
sp5der,147,Sp5der Suisse | Sélection & Nouveautés Young Thug - Resell Lausanne,67,Sp5der Suisse | Sélection & Nouveautés Young Thug,49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
asics-gel-nimbus,91,ASICS Gel-Nimbus Suisse | Sneakers Running Premium - Resell Lausanne,68,ASICS Gel-Nimbus Suisse | Sneakers Running Premium,50,suffix_stripped,removed trailing brand suffix (68 -> 50 chars)
air-jordan-1-high,396,Air Jordan 1 Retro High Suisse | Sneakers Iconiques - Resell Lausanne,69,Air Jordan 1 Retro High Suisse | Sneakers Iconiques,51,suffix_stripped,removed trailing brand suffix (69 -> 51 chars)
air-jordan-1-mid,530,Air Jordan 1 Mid Suisse | Sneakers Basketball Iconiques - Resell Lausanne,73,Air Jordan 1 Mid Suisse | Sneakers Basketball Iconiques,55,suffix_stripped,removed trailing brand suffix (73 -> 55 chars)
air-jordan-1-low,327,Air Jordan 1 Low Suisse | Sneakers Légères & Iconiques - Resell Lausanne,72,Air Jordan 1 Low Suisse | Sneakers Légères & Iconiques,54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
new-balance,1125,"New Balance Suisse | Sneakers 550, 530, 2002R & Plus - Resell Lausanne",70,"New Balance Suisse | Sneakers 550, 530, 2002R & Plus",52,suffix_stripped,removed trailing brand suffix (70 -> 52 chars)
new-balance-2002r,95,New Balance 2002R Suisse | Sneakers Running Premium - Resell Lausanne,69,New Balance 2002R Suisse | Sneakers Running Premium,51,suffix_stripped,removed trailing brand suffix (69 -> 51 chars)
new-balance-550,99,New Balance 550 Suisse | Sneakers Rétro Basket Cuir - Resell Lausanne,69,New Balance 550 Suisse | Sneakers Rétro Basket Cuir,51,suffix_stripped,removed trailing brand suffix (69 -> 51 chars)
new-balance-530,71,New Balance 530 Suisse | Sneakers Running 90's Rétro - Resell Lausanne,70,New Balance 530 Suisse | Sneakers Running 90's Rétro,52,suffix_stripped,removed trailing brand suffix (70 -> 52 chars)
enfant,1086,Sneakers Enfant Tailles 35.5-40 Suisse | Junior - Resell Lausanne,65,Sneakers Enfant Tailles 35.5-40 Suisse | Junior,47,suffix_stripped,removed trailing brand suffix (65 -> 47 chars)
ugg-lowmell,29,UGG Lowmell Suisse | Sneakers Confort Moderne - Resell Lausanne,63,UGG Lowmell Suisse | Sneakers Confort Moderne,45,suffix_stripped,removed trailing brand suffix (63 -> 45 chars)
lowmel-lo,12,UGG Lowmell Lo Suisse | Sneakers Basses Confort - Resell Lausanne,65,UGG Lowmell Lo Suisse | Sneakers Basses Confort,47,suffix_stripped,removed trailing brand suffix (65 -> 47 chars)
ugg-tazz,47,UGG Tazz Suisse | Pantoufles Plateforme Tendance - Resell Lausanne,66,UGG Tazz Suisse | Pantoufles Plateforme Tendance,48,suffix_stripped,removed trailing brand suffix (66 -> 48 chars)
ugg-tasman,111,UGG Tasman Suisse | Pantoufles Confort Iconiques - Resell Lausanne,66,UGG Tasman Suisse | Pantoufles Confort Iconiques,48,suffix_stripped,removed trailing brand suffix (66 -> 48 chars)
ugg-mini-boot,29,UGG Ultra Mini Boot Suisse | Bottines Compactes Tendance - Resell Lausanne,74,UGG Ultra Mini Boot Suisse | Bottines Compactes Tendance,56,suffix_stripped,removed trailing brand suffix (74 -> 56 chars)
yeezy,510,"Yeezy Suisse | Sneakers 350, 700, Foam Runner & Slides - Resell Lausanne",72,"Yeezy Suisse | Sneakers 350, 700, Foam Runner & Slides",54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
onitsuka-tiger-mexico,89,Onitsuka Tiger Mexico 66 Suisse | Sneakers Rétro Japonaises - Resell Lausanne,77,Onitsuka Tiger Mexico 66 Suisse | Sneakers Rétro Japonaises,59,suffix_stripped,removed trailing brand suffix (77 -> 59 chars)
onitsuka-tokuten,15,Onitsuka Tokuten Suisse | Sneakers Rétro Japonaises - Resell Lausanne,69,Onitsuka Tokuten Suisse | Sneakers Rétro Japonaises,51,suffix_stripped,removed trailing brand suffix (69 -> 51 chars)
asics-quantum,63,ASICS Gel-Quantum Suisse | Sneakers Technologie Gel - Resell Lausanne,69,ASICS Gel-Quantum Suisse | Sneakers Technologie Gel,51,suffix_stripped,removed trailing brand suffix (69 -> 51 chars)
asics-running,55,ASICS Running Suisse | Sneakers Performance & Confort - Resell Lausanne,71,ASICS Running Suisse | Sneakers Performance & Confort,53,suffix_stripped,removed trailing brand suffix (71 -> 53 chars)
adidas-sl72,145,Adidas SL72 Suisse | Sneakers Olympiques Rétro - Resell Lausanne,64,Adidas SL72 Suisse | Sneakers Olympiques Rétro,46,suffix_stripped,removed trailing brand suffix (64 -> 46 chars)
asics-gel-lyt-iii,74,ASICS Gel-Lyte III Suisse | Sneakers Iconiques 1990 - Resell Lausanne,69,ASICS Gel-Lyte III Suisse | Sneakers Iconiques 1990,51,suffix_stripped,removed trailing brand suffix (69 -> 51 chars)
adidas-taekwendo,21,Adidas Taekwondo Suisse | Sneakers Arts Martiaux - Resell Lausanne,66,Adidas Taekwondo Suisse | Sneakers Arts Martiaux,48,suffix_stripped,removed trailing brand suffix (66 -> 48 chars)
adidas-rivalry,11,Adidas Rivalry Suisse | Sneakers Basketball Rétro - Resell Lausanne,67,Adidas Rivalry Suisse | Sneakers Basketball Rétro,49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
adidas-ultra-boost,77,Adidas Ultra Boost Suisse | Sneakers Running Premium - Resell Lausanne,70,Adidas Ultra Boost Suisse | Sneakers Running Premium,52,suffix_stripped,removed trailing brand suffix (70 -> 52 chars)
adidas-stan-smith,27,Adidas Stan Smith Suisse | Sneakers Tennis Iconiques - Resell Lausanne,70,Adidas Stan Smith Suisse | Sneakers Tennis Iconiques,52,suffix_stripped,removed trailing brand suffix (70 -> 52 chars)
new-balance-1906l,18,New Balance 1906L Suisse | Sneakers Techniques Modernes - Resell Lausanne,73,New Balance 1906L Suisse | Sneakers Techniques Modernes,55,suffix_stripped,removed trailing brand suffix (73 -> 55 chars)
new-balance-990,150,New Balance 990-999 Suisse | Séries Premium Made in USA - Resell Lausanne,73,New Balance 990-999 Suisse | Séries Premium Made in USA,55,suffix_stripped,removed trailing brand suffix (73 -> 55 chars)
air-jordan-5,290,Air Jordan 5 Suisse | Sneakers Basketball Iconiques - Resell Lausanne,69,Air Jordan 5 Suisse | Sneakers Basketball Iconiques,51,suffix_stripped,removed trailing brand suffix (69 -> 51 chars)
air-jordan-6,315,Air Jordan 6 Suisse | Sneakers Premier Titre NBA 1991 - Resell Lausanne,71,Air Jordan 6 Suisse | Sneakers Premier Titre NBA 1991,53,suffix_stripped,removed trailing brand suffix (71 -> 53 chars)
autre-jordan,67,Autres Jordan Collaborations Suisse | Modèles Exclusifs - Resell Lausanne,73,Autres Jordan Collaborations Suisse | Modèles Exclusifs,55,suffix_stripped,removed trailing brand suffix (73 -> 55 chars)
air-jordan-x-travis-scott,207,Air Jordan × Travis Scott Suisse | Collabs Exclusives - Resell Lausanne,71,Air Jordan × Travis Scott Suisse | Collabs Exclusives,53,suffix_stripped,removed trailing brand suffix (71 -> 53 chars)
nike-cortez,71,Nike Cortez Suisse | Sneakers Iconiques Années 70 - Resell Lausanne,67,Nike Cortez Suisse | Sneakers Iconiques Années 70,49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
nike-x-off-white,160,Nike × Off-White Suisse | Collabs Virgil Abloh Exclusives - Resell Lausanne,75,Nike × Off-White Suisse | Collabs Virgil Abloh Exclusives,57,suffix_stripped,removed trailing brand suffix (75 -> 57 chars)
asics-gel,762,ASICS Gel Suisse | Collection Complète Amorti Gel - Resell Lausanne,67,ASICS Gel Suisse | Collection Complète Amorti Gel,49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
running,733,Sneakers Running Suisse | Performance & Endurance - Resell Lausanne,67,Sneakers Running Suisse | Performance & Endurance,49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
slide-mules,195,Slides & Mules Suisse | Sandales Confort & Style - Resell Lausanne,66,Slides & Mules Suisse | Sandales Confort & Style,48,suffix_stripped,removed trailing brand suffix (66 -> 48 chars)
birkenstock,44,Birkenstock Suisse | Sandales Confort Orthopédiques - Resell Lausanne,69,Birkenstock Suisse | Sandales Confort Orthopédiques,51,suffix_stripped,removed trailing brand suffix (69 -> 51 chars)
crocs,69,Crocs Suisse | Sabots Confort & Collaborations - Resell Lausanne,64,Crocs Suisse | Sabots Confort & Collaborations,46,suffix_stripped,removed trailing brand suffix (64 -> 46 chars)
yeezy-slide,49,Yeezy Slide Suisse | Sandales Minimalistes Confort - Resell Lausanne,68,Yeezy Slide Suisse | Sandales Minimalistes Confort,50,suffix_stripped,removed trailing brand suffix (68 -> 50 chars)
yeezy-350,113,Yeezy Boost 350 Suisse | Sneakers Iconiques Kanye West - Resell Lausanne,72,Yeezy Boost 350 Suisse | Sneakers Iconiques Kanye West,54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
autre-yeezy,66,Autres Yeezy Suisse | Modèles Rares & Exclusifs - Resell Lausanne,65,Autres Yeezy Suisse | Modèles Rares & Exclusifs,47,suffix_stripped,removed trailing brand suffix (65 -> 47 chars)
skateboard,487,"Sneakers Skateboard Suisse | Vans, Nike SB & Plus - Resell Lausanne",67,"Sneakers Skateboard Suisse | Vans, Nike SB & Plus",49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
foam-rnr,23,Yeezy Foam Runner Suisse | Sneakers Futuristes Écologiques - Resell Lausanne,76,Yeezy Foam Runner Suisse | Sneakers Futuristes Écologiques,58,suffix_stripped,removed trailing brand suffix (76 -> 58 chars)
air-jordan-3,94,Air Jordan 3 Suisse | Sneakers Légendaires 1988 - Resell Lausanne,65,Air Jordan 3 Suisse | Sneakers Légendaires 1988,47,suffix_stripped,removed trailing brand suffix (65 -> 47 chars)
court-tenis-retro,2574,Sneakers Court Tennis Rétro Suisse | Style Classique - Resell Lausanne,70,Sneakers Court Tennis Rétro Suisse | Style Classique,52,suffix_stripped,removed trailing brand suffix (70 -> 52 chars)
retro-sneakers,1050,Retro Sneakers Suisse | Modèles Iconiques Vintage - Resell Lausanne,67,Retro Sneakers Suisse | Modèles Iconiques Vintage,49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
retro-basket,3080,Retro Basket Suisse | Sneakers Basketball Vintage - Resell Lausanne,67,Retro Basket Suisse | Sneakers Basketball Vintage,49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
puma,333,"Puma Suisse | Sneakers Speedcat, Suede & Plus - Resell Lausanne",63,"Puma Suisse | Sneakers Speedcat, Suede & Plus",45,suffix_stripped,removed trailing brand suffix (63 -> 45 chars)
moins-de-150chf,3582,Sneakers Moins de 150 CHF Suisse | Prix Accessibles - Resell Lausanne,69,Sneakers Moins de 150 CHF Suisse | Prix Accessibles,51,suffix_stripped,removed trailing brand suffix (69 -> 51 chars)
moins-de-100chf,251,Sneakers Moins de 100 CHF Suisse | Meilleures Affaires - Resell Lausanne,72,Sneakers Moins de 100 CHF Suisse | Meilleures Affaires,54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
femme,3327,Sneakers Femme Suisse | Tendances & Exclusivités - Resell Lausanne,66,Sneakers Femme Suisse | Tendances & Exclusivités,48,suffix_stripped,removed trailing brand suffix (66 -> 48 chars)
homme,12031,Sneakers Homme Suisse | Sélection Exclusive Premium - Resell Lausanne,69,Sneakers Homme Suisse | Sélection Exclusive Premium,51,suffix_stripped,removed trailing brand suffix (69 -> 51 chars)
t-shirt,480,T-Shirts Streetwear Suisse | Marques Premium & Collabs - Resell Lausanne,72,T-Shirts Streetwear Suisse | Marques Premium & Collabs,54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
puffer,92,Doudounes Puffer Suisse | Vestes Matelassées Streetwear - Resell Lausanne,73,Doudounes Puffer Suisse | Vestes Matelassées Streetwear,55,suffix_stripped,removed trailing brand suffix (73 -> 55 chars)
tech,49,Vêtements Tech & Performance Suisse | Sportswear Premium - Resell Lausanne,74,Vêtements Tech & Performance Suisse | Sportswear Premium,56,suffix_stripped,removed trailing brand suffix (74 -> 56 chars)
bonnet-et-casquette,31,Bonnets & Casquettes Suisse | Accessoires Streetwear - Resell Lausanne,70,Bonnets & Casquettes Suisse | Accessoires Streetwear,52,suffix_stripped,removed trailing brand suffix (70 -> 52 chars)
sac,91,"Sacs & Accessoires Suisse | Sacs à Dos, Crossbody & Sport - Resell Lausanne",75,"Sacs & Accessoires Suisse | Sacs à Dos, Crossbody & Sport",57,suffix_stripped,removed trailing brand suffix (75 -> 57 chars)
pokemon,101,Pokémon Trading Cards Suisse | Cartes à Collectionner - Resell Lausanne,71,Pokémon Trading Cards Suisse | Cartes à Collectionner,53,suffix_stripped,removed trailing brand suffix (71 -> 53 chars)
labubu,142,Labubu Suisse | Figurines de Collection Pop Mart - Resell Lausanne,66,Labubu Suisse | Figurines de Collection Pop Mart,48,suffix_stripped,removed trailing brand suffix (66 -> 48 chars)
denim-tears,25,Denim Tears Suisse | Marque Tremaine Emory Exclusive - Resell Lausanne,70,Denim Tears Suisse | Marque Tremaine Emory Exclusive,52,suffix_stripped,removed trailing brand suffix (70 -> 52 chars)
off-white,78,Off-White Vêtements Suisse | Streetwear Virgil Abloh - Resell Lausanne,70,Off-White Vêtements Suisse | Streetwear Virgil Abloh,52,suffix_stripped,removed trailing brand suffix (70 -> 52 chars)
vetement-travis,24,Vêtements Travis Scott Suisse | Merch & Collabs Exclusifs - Resell Lausanne,75,Vêtements Travis Scott Suisse | Merch & Collabs Exclusifs,57,suffix_stripped,removed trailing brand suffix (75 -> 57 chars)
pas-sneakers,5588,Pas-Sneakers Suisse | Vêtements & Accessoires Streetwear - Resell Lausanne,74,Pas-Sneakers Suisse | Vêtements & Accessoires Streetwear,56,suffix_stripped,removed trailing brand suffix (74 -> 56 chars)
soldes,146,Soldes Suisse | Sneakers & Vêtements en Promotion - Resell Lausanne,67,Soldes Suisse | Sneakers & Vêtements en Promotion,49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
lego-star-wars,326,LEGO® Star Wars™ Suisse | Sets à Construire & Collectionner - Resell Lausanne,77,LEGO® Star Wars™ Suisse | Sets à Construire & Collectionner,59,suffix_stripped,removed trailing brand suffix (77 -> 59 chars)
lego-technic,101,LEGO® Technic™ Suisse | Modèles Réalistes à Construire - Resell Lausanne,72,LEGO® Technic™ Suisse | Modèles Réalistes à Construire,54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
lego-harry-potter,66,LEGO® Harry Potter™ Suisse | Hogwarts & Sets Mythiques - Resell Lausanne,72,LEGO® Harry Potter™ Suisse | Hogwarts & Sets Mythiques,54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
lego-city,69,"LEGO® City Suisse | Sets Police, Pompiers & Véhicules - Resell Lausanne",71,"LEGO® City Suisse | Sets Police, Pompiers & Véhicules",53,suffix_stripped,removed trailing brand suffix (71 -> 53 chars)
lego-icons,41,LEGO® Icons Suisse | Sets Adultes & Décoration Collectors - Resell Lausanne,75,LEGO® Icons Suisse | Sets Adultes & Décoration Collectors,57,suffix_stripped,removed trailing brand suffix (75 -> 57 chars)
lego-botanicals,15,LEGO® Botanicals Suisse | Fleurs LEGO & Déco à Offrir - Resell Lausanne,71,LEGO® Botanicals Suisse | Fleurs LEGO & Déco à Offrir,53,suffix_stripped,removed trailing brand suffix (71 -> 53 chars)
lego-marvel,81,LEGO® Marvel Suisse | Super-Héros & Sets d'Action - Resell Lausanne,67,LEGO® Marvel Suisse | Super-Héros & Sets d'Action,49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
lego-ninjago,53,"LEGO® NINJAGO® Suisse | Dragons, Véhicules & Univers Ninja - Resell Lausanne",76,"LEGO® NINJAGO® Suisse | Dragons, Véhicules & Univers Ninja",58,suffix_stripped,removed trailing brand suffix (76 -> 58 chars)
lego-friends,26,LEGO® Friends Suisse | Sets Créatifs & Personnages - Resell Lausanne,68,LEGO® Friends Suisse | Sets Créatifs & Personnages,50,suffix_stripped,removed trailing brand suffix (68 -> 50 chars)
lego-speed-champions,41,LEGO® Speed Champions Suisse | Voitures de Course & Supercars - Resell Lausanne,79,LEGO® Speed Champions Suisse | Voitures de Course,49,word_boundary_truncated,description itself exceeds 60 chars even without suffix; truncated at word boundary (79 -> 49 chars)
lego-disney,29,"LEGO® Disney Suisse | Sets Disney, Princesses & Personnages - Resell Lausanne",77,"LEGO® Disney Suisse | Sets Disney, Princesses & Personnages",59,suffix_stripped,removed trailing brand suffix (77 -> 59 chars)
valentines-days,102,Saint-Valentin Suisse | Cadeaux & Promotions Spéciales - Resell Lausanne,72,Saint-Valentin Suisse | Cadeaux & Promotions Spéciales,54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
enchere-en-cours,0,Enchères en Cours Suisse | Participez Maintenant - Resell Lausanne,66,Enchères en Cours Suisse | Participez Maintenant,48,suffix_stripped,removed trailing brand suffix (66 -> 48 chars)
on,25,ON Running Suisse | Sneakers Performance Suisses - Resell Lausanne,66,ON Running Suisse | Sneakers Performance Suisses,48,suffix_stripped,removed trailing brand suffix (66 -> 48 chars)
les-meilleures-collaborations,10,Meilleures Collaborations Sneakers Travis Scott Nike Off-White — Resell Lausanne,80,Meilleures Collabs Nike x Travis Scott x Off-White,50,manual_review,auto word-boundary cut dropped 'Off-White' keyword; hand-edited to keep all 3 brand names under 60 chars
supreme,287,Supreme Streetwear Collection – Shop Supreme | Resell Lausanne,62,Supreme Streetwear Collection – Shop Supreme,44,suffix_stripped,removed trailing brand suffix (62 -> 44 chars)
chrome-hearts,140,Chrome Hearts Collection – Shop Chrome Hearts | Resell Lausanne,63,Chrome Hearts Collection – Shop Chrome Hearts,45,suffix_stripped,removed trailing brand suffix (63 -> 45 chars)
active-clothing,292,Active Clothing & Sportswear – Shop Premium Brands | Resell Lausanne,68,Active Clothing & Sportswear – Shop Premium Brands,50,suffix_stripped,removed trailing brand suffix (68 -> 50 chars)
birkenstock-arizona,13,Birkenstock Arizona Sandals – All Colourways | Resell Lausanne,62,Birkenstock Arizona Sandals – All Colourways,44,suffix_stripped,removed trailing brand suffix (62 -> 44 chars)
saucony-progrid-omni-9,26,Saucony ProGrid Omni 9 — Sneakers & Streetwear | Resell Lausanne,64,Saucony ProGrid Omni 9 — Sneakers & Streetwear,46,suffix_stripped,removed trailing brand suffix (64 -> 46 chars)
adidas-handball-spezial,235,Adidas Handball Spezial — Sneakers & Streetwear | Resell Lausanne,65,Adidas Handball Spezial — Sneakers & Streetwear,47,suffix_stripped,removed trailing brand suffix (65 -> 47 chars)
moonswatch,34,Swatch x Omega MoonSwatch — Montres & Collectibles | Resell Lausanne,68,Swatch x Omega MoonSwatch — Montres & Collectibles,50,suffix_stripped,removed trailing brand suffix (68 -> 50 chars)
saucony-progrid-triumph-4,37,Saucony ProGrid Triumph 4 — Sneakers & Streetwear | Resell Lausanne,67,Saucony ProGrid Triumph 4 — Sneakers & Streetwear,49,suffix_stripped,removed trailing brand suffix (67 -> 49 chars)
maison-mihara-yasuhiro-hank,10,Maison Mihara Yasuhiro Hank — Sneakers & Streetwear | Resell Lausanne,69,Maison Mihara Yasuhiro Hank — Sneakers & Streetwear,51,suffix_stripped,removed trailing brand suffix (69 -> 51 chars)
maison-mihara-yasuhiro-peterson,19,Maison Mihara Yasuhiro Peterson — Sneakers & Streetwear | Resell Lausanne,73,Maison Mihara Yasuhiro Peterson — Sneakers & Streetwear,55,suffix_stripped,removed trailing brand suffix (73 -> 55 chars)
maison-mihara-yasuhiro-blakey,2,Maison Mihara Yasuhiro Blakey — Sneakers & Streetwear | Resell Lausanne,71,Maison Mihara Yasuhiro Blakey — Sneakers & Streetwear,53,suffix_stripped,removed trailing brand suffix (71 -> 53 chars)
maison-mihara-yasuhiro-baker,1,Maison Mihara Yasuhiro Baker — Sneakers & Streetwear | Resell Lausanne,70,Maison Mihara Yasuhiro Baker — Sneakers & Streetwear,52,suffix_stripped,removed trailing brand suffix (70 -> 52 chars)
nike-dunk,840,"Nike Dunk Low, High & SB — Sneakers & Streetwear | Resell Lausanne",66,"Nike Dunk Low, High & SB — Sneakers & Streetwear",48,suffix_stripped,removed trailing brand suffix (66 -> 48 chars)
nike-air-force-1-low,172,Nike Air Force 1 Low — Sneakers & Streetwear | Resell Lausanne,62,Nike Air Force 1 Low — Sneakers & Streetwear,44,suffix_stripped,removed trailing brand suffix (62 -> 44 chars)
nike-air-force-1-mid,21,Nike Air Force 1 Mid — Sneakers & Streetwear | Resell Lausanne,62,Nike Air Force 1 Mid — Sneakers & Streetwear,44,suffix_stripped,removed trailing brand suffix (62 -> 44 chars)
nike-x-nocta,21,Nike x NOCTA Sneakers — Chaussures & Streetwear | Resell Lausanne,65,Nike x NOCTA Sneakers — Chaussures & Streetwear,47,suffix_stripped,removed trailing brand suffix (65 -> 47 chars)
nike-x-nocta-apparel,20,Nike x NOCTA Vêtements — Streetwear & Apparel | Resell Lausanne,63,Nike x NOCTA Vêtements — Streetwear & Apparel,45,suffix_stripped,removed trailing brand suffix (63 -> 45 chars)
nike-reactx-rejuven8,20,Nike ReactX Rejuven8 — Sneakers & Streetwear | Resell Lausanne,62,Nike ReactX Rejuven8 — Sneakers & Streetwear,44,suffix_stripped,removed trailing brand suffix (62 -> 44 chars)
travis-scott-apparel,112,Travis Scott Vêtements & Apparel — Streetwear | Resell Lausanne,63,Travis Scott Vêtements & Apparel — Streetwear,45,suffix_stripped,removed trailing brand suffix (63 -> 45 chars)
basketball-air-jordan,28,Air Jordan Basketball Chaussures Performance | Resell Lausanne,62,Air Jordan Basketball Chaussures Performance,44,suffix_stripped,removed trailing brand suffix (62 -> 44 chars)
basketball-new-balance,12,New Balance Basketball Chaussures Performance | Resell Lausanne,63,New Balance Basketball Chaussures Performance,45,suffix_stripped,removed trailing brand suffix (63 -> 45 chars)
basketball-under-armour,15,Under Armour Basketball Chaussures Performance | Resell Lausanne,64,Under Armour Basketball Chaussures Performance,46,suffix_stripped,removed trailing brand suffix (64 -> 46 chars)
basketball-361-degrees,15,361 Degrees Basketball Chaussures Performance | Resell Lausanne,63,361 Degrees Basketball Chaussures Performance,45,suffix_stripped,removed trailing brand suffix (63 -> 45 chars)
saucony-other-models,17,Saucony Sneakers – Other Models & Silhouettes | Resell Lausanne,63,Saucony Sneakers – Other Models & Silhouettes,45,suffix_stripped,removed trailing brand suffix (63 -> 45 chars)
nike-other-models,327,Autres Modèles Nike Suisse | Silhouettes & Collections - Resell Lausanne,72,Autres Modèles Nike Suisse | Silhouettes & Collections,54,suffix_stripped,removed trailing brand suffix (72 -> 54 chars)
adidas-xlg-runner,41,Adidas XLG Runner Sneakers – Chunky Street Style | Resell Lausanne,66,Adidas XLG Runner Sneakers – Chunky Street Style,48,suffix_stripped,removed trailing brand suffix (66 -> 48 chars)
adidas-superstar,48,Adidas Superstar Sneakers – Iconic Shell-Toe Classic | Resell Lausanne,70,Adidas Superstar Sneakers – Iconic Shell-Toe Classic,52,suffix_stripped,removed trailing brand suffix (70 -> 52 chars)
new-balance-other-models,176,Autres Modèles New Balance Suisse | Silhouettes NB - Resell Lausanne,68,Autres Modèles New Balance Suisse | Silhouettes NB,50,suffix_stripped,removed trailing brand suffix (68 -> 50 chars)
new-balance-1000,40,New Balance 1000 Sneakers – Heritage Runner | Resell Lausanne,61,New Balance 1000 Sneakers – Heritage Runner,43,suffix_stripped,removed trailing brand suffix (61 -> 43 chars)
new-balance-327,67,New Balance 327 Sneakers – Retro Runner Icon | Resell Lausanne,62,New Balance 327 Sneakers – Retro Runner Icon,44,suffix_stripped,removed trailing brand suffix (62 -> 44 chars)
alo-yoga,1,Alo Yoga — Vêtements Sport & Lifestyle Premium | Resell Lausanne,64,Alo Yoga — Vêtements Sport & Lifestyle Premium,46,suffix_stripped,removed trailing brand suffix (64 -> 46 chars)
